record_date,fwcode,facility_id,fieldname,error_type,error_desc,branch_condition,field_value
07nov2025 14:10,CJ,CJ-UE-KNW-MI-CHPS-MIRI-0124,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 14:10,CJ,CJ-UE-KNW-MI-CHPS-MIRI-0124,a1_8a,REQUIRED_BUT_BLANK,"This question (a1_8a) is required because question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) was answered yes, but it is blank. Please complete this question.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,
07nov2025 09:45,CJ,CJ-UE-KNW-MI-HEAL-NABA-0120,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 09:45,CJ,CJ-UE-KNW-MI-HEAL-NABA-0120,a1_8a,REQUIRED_BUT_BLANK,"This question (a1_8a) is required because question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) was answered yes, but it is blank. Please complete this question.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,
07nov2025 11:07,CJ,CJ-UE-KNW-MI-HEAL-NABA-0121,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 11:07,CJ,CJ-UE-KNW-MI-HEAL-NABA-0121,a1_8a,REQUIRED_BUT_BLANK,"This question (a1_8a) is required because question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) was answered yes, but it is blank. Please complete this question.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,
07nov2025 13:22,CJ,CJ-UE-KNW-SI-CHPS-MIRI-0123,a1_3b,REQUIRED_FIELD_MISSING,This question (a1_3b) is marked as REQUIRED in the REDCap form but is blank. Please complete it.,Required field in REDCap dictionary (no branching).,
07nov2025 13:22,CJ,CJ-UE-KNW-SI-CHPS-MIRI-0123,a1_8_29_1_1,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_1) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 13:22,CJ,CJ-UE-KNW-SI-CHPS-MIRI-0123,a1_8_29_1_2,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_2) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,1
07nov2025 13:22,CJ,CJ-UE-KNW-SI-CHPS-MIRI-0123,a1_8_29_1_3,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_3) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
