record_date,fwcode,facility_id,fieldname,error_type,error_desc,branch_condition,field_value
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_21,SHOULD_BE_SKIPPED,"This question (a1_8_21) was filled, but it should only be answered when question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) is answered yes. Please clear this value or correct the answer to a1_7_3.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_25,SHOULD_BE_SKIPPED,"This question (a1_8_25) was filled, but it should only be answered when question a1_7_3 (a1_7_3. 3. Maternal and child healthcare services) is answered yes. Please clear this value or correct the answer to a1_7_3.",These service questions apply ONLY when the provider reports offering that service category (a1_7_3 = YES).,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_1_1,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_1) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_1_2,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_2) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_1_3,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_3) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_1_4,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_4) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_1_5,SHOULD_BE_SKIPPED,"This question (a1_8_29_1_5) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,1
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_2_1,SHOULD_BE_SKIPPED,"This question (a1_8_29_2_1) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,1
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_2_2,SHOULD_BE_SKIPPED,"This question (a1_8_29_2_2) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_2_3,SHOULD_BE_SKIPPED,"This question (a1_8_29_2_3) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
07nov2025 11:52,SC,SC-UE-KNW-KA-HEAL-KAYOH-0126,a1_8_29_2_4,SHOULD_BE_SKIPPED,"This question (a1_8_29_2_4) was filled, but it should only be answered when question a1_8_29 (a1_8_29. Do you conduct pregnancy school or group antenatal sessions ?) is answered Yes. Please clear this value or correct the answer to a1_8_29.",These detailed questions apply ONLY when the respondent answered YES to a1_8_29.,0
