recordid,start,fwcode,mcode,section,errtype,varname,errordesc,start_fmt
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_2,Missing WHOQOL-BREF item: i1_2. How satisfied are you with your health?  (i1_2) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section H – Woman's mental well-being,Missing,h1_4,Missing WHO-5 item: h1_4. You woke up feeling fresh and rested. (h1_4) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_9,Missing WHOQOL-BREF item: i1_9. How healthy is your physical environment?  (i1_9) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_26,"Missing i1_26. How often do you have negative feelings such as blue mood, despair, anxie (i1_26) when interview was conducted (a1_1 = Yes - interview can be conducted)",
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_10,Missing WHOQOL-BREF item: i1_10. Do you have enough energy for everyday life?  (i1_10) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_17,Missing WHOQOL-BREF item: i1_17. How satisfied are you with your ability to perform your daily living acti (i1_17) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_1,Missing required Section E activity field: e1_1. Walking long distances (more than 30 minutes of normal walking speed) and  (e1_1) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_21,Missing WHOQOL-BREF satisfaction item: i1_21. How satisfied are you with your sex life?  (i1_21) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_18,Missing WHOQOL-BREF item: i1_18. How satisfied are you with your capacity for work? (i1_18) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_2,Missing required Section E activity field: e1_2. Walking long distances (more than 30 minutes of normal walking speed) with (e1_2) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_20,Missing WHOQOL-BREF satisfaction item: i1_20. How satisfied are you with your personal relationships?  (i1_20) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_7,"Missing required Section E activity field: e1_7. On a typical day, how many hours do you spend outdoors during the hottest  (e1_7) when interview was conducted (a1_1 = Yes - interview can be conducted)",
